,borough,ntaname,food_scrap_drop_off_site,location,hosted_by,open_months,operation_day_hours,website,borocd,councildist,latitude,longitude,precinct,object_id,location_point,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,notes,ct2010,bbl,bin
137,Brooklyn,Windsor Terrace-South Slope,Brooklyn Hope Church,"120 16th Street, Brooklyn, New York 11215",Brooklyn Hope Church,Year Round,Sundays (Start Time: 12 pm - End Time:  2 pm),Brooklynhope.org,307,38,40.6657639,-73.9918034,72,3609,"{'type': 'Point', 'coordinates': [-73.9918034, 40.6657639]}",2.0,27.0,45.0,17617.0,9.0,"Accepts meat, bones, and dairy",,,
138,Manhattan,Hamilton Heights-Sugar Hill,Frank White Memorial Garden,"506 West 143rd Street, New York, NY 10031",Brotherhood/Sister Sol,Year Round,24/7 (Start Time: 24/7 - End Time:  24/7),www.brotherhood-sistersol.org,109,7,40.824235,-73.94983,30,3390,"{'type': 'Point', 'coordinates': [-73.94983, 40.824235]}",4.0,23.0,19.0,12428.0,37.0,"Garden staff will be available for questions or concerns from 10am-6pm. Not accepted: meat, bones, or dairy",,,
139,Staten Island,Tompkinsville-Stapleton-Clifton-Fox Hills,NW Corner of Hill Street & Tompkins Avenue,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,501,49,,,120,3836,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
140,Manhattan,Morningside Heights,SW Corner of West 112 Street & Broadway,SW West 112 Street & Broadway,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,109,7,40.80557429,-73.96601334,26,3594,"{'type': 'Point', 'coordinates': [-73.96601334, 40.80557429]}",4.0,23.0,17.0,12422.0,37.0,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
141,Bronx,Westchester Square,NW Corner of Zerega Avenue & Waterbury Avenue,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,210,18,,,45,3782,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
142,Brooklyn,Bedford-Stuyvesant (East),NW Corner of Howard Avenue & Macdonough Street,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,303,41,,,81,3462,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
143,Brooklyn,Cypress Hills,Cypress Hills,Fulton St. between Richmond and Logan Sts (in front of Cypress Hills Senior Center),GrowNYC,Year Round,Fridays (Start Time: 10:00 AM - End Time:  1:00 PM),grownyc.org/compost,305,37,40.682299,-73.876748,75,3725,"{'type': 'Point', 'coordinates': [-73.876748, 40.682299]}",2.0,37.0,47.0,17215.0,45.0,"Not accepted: meat, bones, or dairy",,,
144,Queens,Astoria (Central),30-60  Crescent Street,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,401,22,,,114,3330,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
145,Manhattan,Harlem (North),NW Corner of West 132 Street & Adam Clayton Powell Jr Blvd,NW West 132 Street & Adam Clayton Powell Jr Blvd,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,110,9,40.81341769,-73.9451823,32,3403,"{'type': 'Point', 'coordinates': [-73.9451823, 40.81341769]}",4.0,36.0,20.0,12424.0,18.0,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
146,Manhattan,Inwood,SW Corner of West 212nd Street & 10th Avenue,SW West 212nd Street & 10th Avenue,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,112,10,40.86791421,-73.9171445,34,3572,"{'type': 'Point', 'coordinates': [-73.9171445, 40.86791421]}",4.0,39.0,22.0,13092.0,47.0,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
147,Queens,Astoria (Central),NW Corner of 31st Ave & 29th St,NW Corner of 31st Ave & 29th St,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,401,22,40.76524333,-73.92510952,114,3313,"{'type': 'Point', 'coordinates': [-73.92510952, 40.76524333]}",3.0,4.0,72.0,16859.0,39.0,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
148,Queens,Astoria (Central),S/E Corner of 31 Ave and 29 St,S/E Corner of 31 Ave and 29 St,Department of Sanitation,Year Round,24/7,www.smartcompost.nyc,401,22,40.76492,-73.92493,114,3296,"{'type': 'Point', 'coordinates': [-73.92493, 40.764920000000004]}",3.0,4.0,72.0,16863.0,39.0,"Need key to access bin: sign-up at www.smartcompost.nyc/sign-up. Accepts all food scraps, inlcuding meat and dairy. Do not leave food scraps outside of bin!",,,
149,Bronx,Tremont,SW Corner of E 179 Street & Clinton Avenue,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,206,15,,,48,3757,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
150,Brooklyn,Bushwick (West),SW Corner of St . Nicholas Avenue & Stockholm Street,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,304,37,,,83,3641,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
151,Brooklyn,Bedford-Stuyvesant (East),NW Corner of Howard Avenue & Marion Street,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,303,41,,,81,3461,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
152,Manhattan,Murray Hill-Kips Bay,St. Vartan Park,Near the 1st Ave. & E 36th St. entrance,Alliance for Kips Bay with PS281 Green Team and PS116 PTA,Year Round,Saturdays (Start Time: 10:00 AM - End Time:  4:00 PM),bit.ly/StVartanCompost,106,4,40.745061,-73.973126,17,3622,"{'type': 'Point', 'coordinates': [-73.973126, 40.745061]}",4.0,51.0,9.0,12078.0,71.0,"Not accepted: meat, bones, or dairy",,,
153,Brooklyn,Bedford-Stuyvesant (East),NW Corner of Malcolm X Boulevard & Putnam Avenue,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,303,36,,,81,3476,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
154,Queens,Astoria (Central),NW Corner of 31st Ave & 35th St,30 Ft frm NW Corner of 31st Ave & 35th St,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,401,22,40.76298318,-73.92040648,114,3308,"{'type': 'Point', 'coordinates': [-73.92040648, 40.76298318]}",3.0,4.0,72.0,16860.0,39.0,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
155,Bronx,Fordham Heights,SE Corner of Field Place & Morris Avenue,SE Field Place & Morris Avenue,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,205,14,40.8591294,-73.90127487,46,3740,"{'type': 'Point', 'coordinates': [-73.90127487, 40.8591294]}",5.0,29.0,29.0,11606.0,6.0,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
156,Brooklyn,Prospect Heights,Underhill Avenue & Eastern Parkway,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,308,35,,,77,3508,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
157,Manhattan,Chelsea-Hudson Yards,Hudson River Park's Pier 76 at W. 34th St.,Pier 76 at 34th Street and 12th Ave outside of compost yard South of 34th St,Staff at Hudson River Park,Year Round,Every day (Start Time: 7:00 AM - End Time:  7:00 PM),https://hudsonriverpark.org/the-park/sustainability/community-compost-program/,104,3,40.756032,-74.006046,10,3540,"{'type': 'Point', 'coordinates': [-74.006046, 40.756032]}",4.0,10.0,6.0,12074.0,12.0,"Not accepted: meat, bones, or dairy",,,
158,Manhattan,Washington Heights (South),SW Corner of Amsterdam Avenue & W 160 Street,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,112,10,,,33,3582,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
159,Brooklyn,Crown Heights (North),NE Corner of Rogers Avenue & Dean Street,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,308,36,,,77,3493,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
160,Queens,Flushing-Willets Point,Queens Botanical Garden Public Food Scrap Drop-Off,"Parking Garden at QBG 42-80 Crommelin Avenue, Flushing, NY 11355",NYC Compost Project Hosted by Queens Botanical Garden,Year Round,Every day (Start Time: 8:00 AM - End Time:  5:00 PM),,407,20,40.75159,-73.82981,109,3814,"{'type': 'Point', 'coordinates': [-73.82981, 40.75159]}",3.0,3.0,67.0,14190.0,22.0,"Not accepted: meat, bones, or dairy",,,
161,Brooklyn,Marine Park-Mill Basin-Bergen Beach,Genovesi Environmental Study Center,"7151 Avenue T, Brooklyn, NY 11234",Genovesi Environmental Study Center,Year Round,Monday-Friday (Start Time: 9:00 AM - End Time:  3:00 PM),https://www.schools.nyc.gov/learning/student-journey/experiential-learning/genovesi-environmental-study-center,318,46,40.6221465,-73.9084944,63,3804,"{'type': 'Point', 'coordinates': [-73.9084944, 40.6221465]}",2.0,8.0,38.0,13825.0,5.0,"Not accepted: meat, bones, or dairy",,,
162,Bronx,Mott Haven-Port Morris,Padre Plaza Community Garden,"541 E 139th St, Bronx, NY 10454",Padre Plaza Community Garden,Year Round,Mondays and Wednesdays (Start Time: 12:00 PM - End Time:  5:00 PM),,201,8,40.8079687,-73.917581,40,3682,"{'type': 'Point', 'coordinates': [-73.917581, 40.8079687]}",5.0,35.0,23.0,10932.0,49.0,"Not accepted: meat, bones, or dairy",,,
163,Manhattan,Tribeca-Civic Center,Tribeca Greenmarket,Greenwich St. & Duane St,GrowNYC,Year Round,Saturdays (Start Time: 8:00 AM - End Time:  1:00 PM),grownyc.org/compost,101,1,40.717424,-74.010793,1,3281,"{'type': 'Point', 'coordinates': [-74.010793, 40.717424]}",4.0,32.0,1.0,12076.0,56.0,"Not accepted: meat, bones, or dairy",,,
164,Manhattan,East Harlem (South),SE Corner of East 112th Street & Park Avenue,SE East 112th Street & Park Avenue,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,111,8,40.79670761,-73.94496605,23,3450,"{'type': 'Point', 'coordinates': [-73.94496605, 40.79670761]}",4.0,35.0,14.0,12426.0,7.0,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
165,Manhattan,Midtown South-Flatiron-Union Square,Madison Square Park Food Scrap Drop-off,23rd St & Broadway,GrowNYC,Year Round,Wednesdays (Start Time: 8:00 AM - End Time:  1:00 PM),grownyc.org/compost,105,3,40.741669,-73.988969,13,3545,"{'type': 'Point', 'coordinates': [-73.988969, 40.741669]}",4.0,50.0,7.0,12073.0,11.0,"Not accepted: meat, bones, or dairy",,,
166,Bronx,Norwood,NE Corner of E Mosholu parkway North & Van Cortlandt Avenue,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,207,11,,,52,3772,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
167,Manhattan,Harlem (South),SW Corner of St. Nicholas Avenue & West 118 Street,SW St. Nicholas Avenue & West 118 Street,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,110,9,40.8050784,-73.95281788,28,3418,"{'type': 'Point', 'coordinates': [-73.95281788, 40.8050784]}",4.0,36.0,18.0,12423.0,18.0,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
168,Brooklyn,Bushwick (East),NW Corner of Central Avenue & Madision Street,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,304,37,,,83,3650,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
169,Manhattan,East Harlem (North),SE Corner of Pleasant Avenue & East 120 Street,SE Pleasant Avenue & East 120 Street,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,111,8,40.79758808,-73.93138837,25,3435,"{'type': 'Point', 'coordinates': [-73.93138837, 40.79758808]}",4.0,35.0,16.0,13093.0,7.0,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
170,Manhattan,Harlem (North),NW Corner of West 126th Street & Adam Clayton Powell Jr Blvd,NW West 126th Street & Adam Clayton Powell Jr Blvd,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,110,9,40.80984148,-73.94765664,28,3413,"{'type': 'Point', 'coordinates': [-73.94765664, 40.80984148]}",4.0,36.0,18.0,12424.0,18.0,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
171,Manhattan,Washington Heights (North),NW Corner of Cabrini Blvd & W 187 Street,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,112,10,,,34,3567,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
172,Queens,South Ozone Park,Office of Assemblymember Anderson,131-15 Rockaway Boulevard,Assemblymember Anderson,Year Round,Tuesdays and Wednesdays (Start Time: 12:00 PM - End Time:  4:00 PM),https://nyassembly.gov/mem/Khaleel-M-Anderson,410,28,40.6749729,-73.8066806,106,3821,"{'type': 'Point', 'coordinates': [-73.80668059999999, 40.6749729]}",3.0,46.0,64.0,24016.0,62.0,"Not accepted: meat, bones, or dairy",180.0,4116950017.0,4253040.0
173,Bronx,Mount Eden-Claremont (West),SE Corner of Eastburn Avenue & E 174 Street,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,204,15,,,44,3705,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
174,Brooklyn,Greenpoint,North Brooklyn Compost,"Russell Street &, Nassau Ave, Brooklyn, NY 11222",North Brooklyn Compost,Year Round,Sundays (Start Time: 10:00 AM - End Time:  1:00 PM),https://www.instagram.com/nbkcompost/?hl=en,301,33,40.724493,-73.94375,94,3677,"{'type': 'Point', 'coordinates': [-73.94375, 40.724493]}",2.0,38.0,57.0,18182.0,36.0,"Not accepted: meat, bones, or dairy",,,
175,Staten Island,Port Richmond,Venture House,"1442 Castleton Avenue, 10302",Snug Harbor Youth,Year Round,Fridays (Start Time: 10:30 AM - End Time:  2:30 PM),snug-harbor.org,501,49,40.634203,-74.131071,121,3809,"{'type': 'Point', 'coordinates': [-74.131071, 40.634203]}",1.0,13.0,75.0,10370.0,4.0,"Not accepted: meat, bones, or dairy",207.0,5010300069.0,5106982.0
176,Bronx,Mount Hope,SW Corner of Mount Hope Place & Walton Avenue,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,205,14,,,46,3750,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
177,Queens,Sunnyside,45th Street Composters,"41-12 45th Street (45th St & Skillman Ave, Queens, NY 11104)",Volunteers at 45th Street Compost,Year Round,Sundays (Start Time: 10:30 AM - End Time:  1:00 PM),https://linktr.ee/45thstreetcomposters,402,26,40.746199,-73.919118,108,3375,"{'type': 'Point', 'coordinates': [-73.919118, 40.746199]}",3.0,33.0,66.0,16861.0,53.0,"Not accepted: meat, bones, or dairy",,,
178,Brooklyn,Bensonhurst,18th Avenue at 64th Street,west of 18th Avenue between 64th Street and 63rd Street,NYC Compost Project Hosted by LES Ecology Center,Year Round,Tuesdays (Start Time: 10:00 AM - End Time:  2:00 PM),https://www.lesecologycenter.org/programs/compost/compost-drop-off-locations/,311,43,40.6200069,-73.9894524,62,3613,"{'type': 'Point', 'coordinates': [-73.9894524, 40.6200069]}",2.0,7.0,37.0,16867.0,1.0,"Not accepted: meat, bones, or dairy",,,
179,Manhattan,Financial District-Battery Park City,Battery Park City Authority Headquarters,75 Battery Place,Battery Park City Authority,Year Round,24/7 (Start Time: 24/7 - End Time:  24/7),https://bpca.ny.gov/nature-and-sustainability/sustainability/,101,1,40.7067584,-74.0171557,1,3276,"{'type': 'Point', 'coordinates': [-74.0171557, 40.7067584]}",4.0,32.0,1.0,10367.0,56.0,"Not accepted: meat, bones, or dairy",31704.0,1000167517.0,1087842.0
180,Queens,Astoria (East)-Woodside (North),NW Corner of Broadway & 51 Street,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,401,26,,,114,3358,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
181,Manhattan,Upper West Side-Manhattan Valley,97th Street Greenmarket,W 97th St and Amsterdam Ave,GrowNYC,Year Round,Fridays (Start Time: 8:00 AM - End Time:  12:30 PM),grownyc.org/compost,107,7,40.794717,-73.969552,24,3590,"{'type': 'Point', 'coordinates': [-73.969552, 40.794717]}",4.0,23.0,15.0,12422.0,20.0,"Not accepted: meat, bones, or dairy",181.0,,
182,Brooklyn,Bushwick (East),*CLOSED FOR THE SEASON* Bushwick Grows! Community Garden,"1474 Gates Ave, Brooklyn, NY 11237",Volunteers at Bushwick Grows!,"Seasonal, May-November 28",Saturdays (Start Time: 10:00 AM - End Time:  1:00 PM),riseboro.org,304,37,40.697523,-73.913913,83,3645,"{'type': 'Point', 'coordinates': [-73.913913, 40.697523]}",2.0,37.0,53.0,13828.0,42.0,"Not accepted: meat, bones, or dairy",,,
183,Brooklyn,Crown Heights (North),1100 Bergen Street Community Garden,"1107 Bergen Street, Brooklyn, NY 11216",Volunteers at 1100 Bergen Street Community Garden,Year Round,Sundays (Start Time: 10:00 AM - End Time:  3:00 PM),https://bqlt.org/garden/1100-block-bergen-st-community-garden,308,36,40.67629,-73.94925,77,3481,"{'type': 'Point', 'coordinates': [-73.94925, 40.67629]}",2.0,49.0,49.0,17618.0,16.0,"Not accepted: meat, bones, or dairy",,,
184,Bronx,Riverdale-Spuyten Duyvil,*CLOSED FOR THE SEASON* Riverdale Y Sunday Market at Riverdale Temple,4545 Independence Ave,Riverdale Y Sunday Market Volunteers,April - December 19th 2021,Sundays (Start Time: 11:30 AM - End Time:  12:30 PM),,208,11,40.8918241,-73.912916,50,3777,"{'type': 'Point', 'coordinates': [-73.912916, 40.8918241]}",5.0,40.0,33.0,11609.0,48.0,"Not accepted: meat, bones, or dairy",309.0,2059200456.0,2088698.0
185,Manhattan,Harlem (North),SE Corner of West 136th Street & Edgecombe Avenue,SE West 136th Street & Edgecombe Avenue,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,110,9,40.81773208,-73.94737802,32,3407,"{'type': 'Point', 'coordinates': [-73.94737802, 40.81773208]}",4.0,36.0,20.0,12427.0,18.0,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
186,Bronx,University Heights (South)-Morris Heights,NE Corner of West Burnside Avenue & Sedgewick,NE West Burnside Avenue & Sedgewick,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,205,14,40.85487248,-73.91663756,46,3745,"{'type': 'Point', 'coordinates': [-73.91663756, 40.85487248]}",5.0,29.0,29.0,10931.0,6.0,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
187,Brooklyn,Prospect Heights,SW Corner of Classon Avenue & Park Place,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,308,35,,,77,3513,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
188,Queens,Astoria (Central),East Side of 31st St between 31st Ave & Broadway IFO Garage,E/S of 31st St b/t 31st Ave & Broadway IFO Garage,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,401,22,40.76300292,-73.92440685,114,3320,"{'type': 'Point', 'coordinates': [-73.92440685, 40.76300292]}",3.0,4.0,72.0,16863.0,39.0,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
189,Queens,Jackson Heights,Jackson Heights Greenmarket,79th St and Northern Blvd,GrowNYC,Year Round,Sundays (Start Time: 8:30 AM - End Time:  2:00 PM),grownyc.org/compost,403,25,40.753687,-73.886999,115,3381,"{'type': 'Point', 'coordinates': [-73.886999, 40.753687]}",3.0,5.0,73.0,14783.0,65.0,"Not accepted: meat, bones, or dairy",285.0,,
190,Queens,Old Astoria-Hallets Point,NW Corner of Astoria Boulevard & 8 Street,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,401,22,,,114,3349,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
191,Queens,Astoria (Central),S/E Corner of 31 Ave and 35 St,S/E Corner of 31 Ave and 35 St,Department of Sanitation,Year Round,24/7,www.smartcompost.nyc,401,22,40.76268,-73.92013,114,3291,"{'type': 'Point', 'coordinates': [-73.92013, 40.76268]}",3.0,4.0,72.0,16863.0,39.0,"Need key to access bin: sign-up at www.smartcompost.nyc/sign-up. Accepts all food scraps, inlcuding meat and dairy. Do not leave food scraps outside of bin!",,,
192,Queens,Elmhurst,Terraza 7,"40-19 Gleane Street, Elmhurst, NY, 11373",,Year Round,Thursdays (Start Time: 4:00 PM - End Time:  6:00 PM),https://terraza7.com/,404,25,40.7475361,-73.8820084,110,3386,"{'type': 'Point', 'coordinates': [-73.8820084, 40.7475361]}",3.0,21.0,68.0,14784.0,66.0,"Not accepted: meat, bones, or dairy",,,
193,Brooklyn,Bedford-Stuyvesant (West),SW Corner of Tompkins Avenue & Lafayette Avenue,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,303,36,,,79,3518,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
194,Brooklyn,Prospect Park,Nurture BK,"Prospect Park, West of the entrance on Parkside Av (& Ocean Av)",Nurture BK,Year Round,Sundays (Start Time: 9:00 AM - End Time:  11:00 AM),https://www.instagram.com/nurturebk_compost/,355,39,40.654917,-73.962083,78,3557,"{'type': 'Point', 'coordinates': [-73.962083, 40.654917]}",2.0,27.0,50.0,,13.0,"Not accepted: meat, bones, or dairy",,,
195,Brooklyn,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,Christ Church Community Compost,326 Clinton Street,Volunteers at Christ Church,Year Round,Sundays & Wednesdays (Start Time: Sundays at 9 am; Wednesdays at 7 pm - End Time:  Sundays at 10 am; Wednesdays at 8 pm),www.christchurchcobblehill.net,306,39,40.68596,-73.99701,76,3618,"{'type': 'Point', 'coordinates': [-73.99701, 40.68596]}",2.0,27.0,48.0,13514.0,14.0,"Not accepted: meat, bones, or dairy",67.0,3003240036.0,3003899.0
196,Queens,Astoria (Central),35-04  31 Avenue,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,401,22,,,114,3323,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
197,Brooklyn,Bedford-Stuyvesant (West),NE Corner of Bedford Avenue & Quincy Street,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,303,36,,,79,3525,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
198,Bronx,Concourse-Concourse Village,NW Corner of Gerard Avenue & E 150 Street,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,204,8,,,44,3686,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
199,Manhattan,East Harlem (North),SW Corner of E 118 Street & 1 Avenue,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,111,8,,,25,3439,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
200,Staten Island,West New Brighton-Silver Lake-Grymes Hill,Grymes Hill Wagner College,"1 Campus Rd, Staten Island, NY 10301",Wagner College,September-June,24/7 (Start Time: 24/7 - End Time:  24/7),wagner.edu,501,49,40.613444,-74.095028,120,3833,"{'type': 'Point', 'coordinates': [-74.095028, 40.613444]}",1.0,13.0,74.0,10691.0,4.0,"Not accepted: meat, bones, or dairy",,,
201,Brooklyn,Bushwick (East),NE Corner of Bushwick Avenue & Vanderveer Street,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,304,37,,,83,3654,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
202,Manhattan,East Harlem (South),SE Corner of E 112 Street & Park Avenue,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,111,8,,,23,3454,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
203,Bronx,Pelham Bay-Country Club-City Island,NW Corner of Parkview Avenue & Middletown Road,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,210,13,,,45,3789,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
204,Brooklyn,Crown Heights (North),SE Corner of Rochester Avenue & Park Place,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,308,36,,,77,3486,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
205,Queens,Ridgewood,NW Corner of St . Nicholas Avenue & Linden Street,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,405,34,,,104,3673,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
206,Bronx,Mount Eden-Claremont (West),NW Corner of Sheridan Avenue & Marcy Place,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,204,16,,,44,3701,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
207,Manhattan,Harlem (South),SE Corner of W 118 Street & Lenox Avenue,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,110,9,,,28,3422,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
208,Queens,Old Astoria-Hallets Point,31-10 23 Street,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,401,22,,,114,3343,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
209,Brooklyn,East New York (North),East New York Farms: Poppa & Momma Jones Historical Garden,"337 Van Siclen Ave, Brooklyn, NY 11207",East New York Farms,March - November,24/7 (Start Time: 24/7 - End Time:  24/7),ucceny.org/enyf-old/compost/,305,42,40.671653,-73.889806,75,3733,"{'type': 'Point', 'coordinates': [-73.889806, 40.671653]}",2.0,37.0,47.0,17214.0,45.0,"Not accepted: meat, bones, or dairy",,,
210,Brooklyn,Bedford-Stuyvesant (East),SW Corner of Albany Avenue & Herkimer Street,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,303,36,,,79,3514,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
211,Manhattan,Upper East Side-Lenox Hill-Roosevelt Island,Roosevelt Island Farmers Market,"543 Main St, New York, NY 10044",Haki Compost Collective,Year Round,Saturdays (Start Time: 9:00 AM - End Time:  2:00 PM),https://www.instagram.com/hakicompost/,108,5,40.761833,-73.950139,114,3371,"{'type': 'Point', 'coordinates': [-73.950139, 40.761833]}",4.0,1.0,72.0,13099.0,23.0,"Not accepted: meat, bones, or dairy",,,
